objectid,CNN,ST_NAME,ST_TYPE,DISTRICT,COLLECTN,PRKG_SPLY,YEAR,shape,data_as_of,data_loaded_at
2857,12675000,TRANSVERSE,DR,01,FIELD,0,2010,"LINESTRING (-122.479895427 37.770495879, -122.480022315 37.770620065, -122.480240496 37.77089438, -122.480447031 37.771096822, -122.480649091 37.771253008, -122.480872959 37.771375367, -122.481082893 37.771461925, -122.481466065 37.771597049, -122.481607906 37.77168475, -122.481785355 37.771888002)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1124,387000,08TH,AVE,02,FIELD,34,2012,"LINESTRING (-122.466830336 37.786568135, -122.466694443 37.784715522)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2196,901000,19TH,AVE,02,FIELD,18,2012,"LINESTRING (-122.478764835 37.786737882, -122.478713573 37.78603127)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
479,12082000,STANYAN,ST,01,FIELD,3,2011,"LINESTRING (-122.454846634 37.77568499, -122.454764269 37.7755268)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
474,12749000,TURK,BLVD,01,FIELD,13,2011,"LINESTRING (-122.454331408 37.777712789, -122.455216942 37.777599279)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
472,155000,03RD,AVE,01,FIELD,36,2010,"LINESTRING (-122.461062828 37.781160262, -122.460931268 37.77923468)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2137,12086000,STANYAN,ST,05,REMOTE,0,2014,"LINESTRING (-122.454083218 37.771930405, -122.454018234 37.771616238)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
519,12078000,STANYAN,BLVD,01,FIELD,27,2011,"LINESTRING (-122.455442079 37.778827543, -122.455213456 37.777704195, -122.455216942 37.777599279)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
945,1463000,25TH,AVE,02,FIELD,25,2012,"LINESTRING (-122.485206502 37.788933439, -122.485384167 37.789214931, -122.485492762 37.789354241, -122.48577084 37.789532348)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
939,1868000,39TH,AVE,01,FIELD,44,2010,"LINESTRING (-122.499318869 37.773750889, -122.499183042 37.771885392)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2093,3595000,CALIFORNIA,ST,01,FIELD,12,2010,"LINESTRING (-122.477509348 37.784222492, -122.478578838 37.784173987)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
953,1469000,26TH,AVE,02,FIELD,38,2012,"LINESTRING (-122.486358959 37.787561702, -122.486340846 37.787469155, -122.486220106 37.785765212, -122.486223795 37.785697129)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
470,283000,05TH,AVE,01,FIELD,32,2011,"LINESTRING (-122.462804752 37.775417908, -122.462683796 37.773759752)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
12677,8017000,LAKE,ST,02,FIELD,17,2012,"LINESTRING (-122.467898459 37.786533455, -122.468974695 37.786482586)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2025,5932000,FULTON,ST,01,FIELD,17,2012,"LINESTRING (-122.484194201 37.772569062, -122.485262025 37.772520419)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
12663,2061000,48TH,AVE,01,FIELD,49,2010,"LINESTRING (-122.50936831 37.778965167, -122.509228159 37.777044003)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
12689,1767000,35TH,AVE,01,FIELD,32,2012,"LINESTRING (-122.495174852 37.775813279, -122.495039059 37.773946844)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13667,151000,03RD,AVE,02,FIELD,20,2012,"LINESTRING (-122.461470836 37.786816065, -122.461368664 37.785403135)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13442,3468000,CABRILLO,ST,01,FIELD,19,2011,"LINESTRING (-122.4595885 37.77556646, -122.460660763 37.775516944)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
14234,1289000,24TH,AVE,02,FIELD,4,2013,"LINESTRING (-122.484173606 37.787310866, -122.484154639 37.786979086)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1199,833000,18TH,AVE,01,FIELD,38,2012,"LINESTRING (-122.476829555 37.774778827, -122.476694205 37.772912859)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1207,498000,11TH,AVE,01,FIELD,38,2011,"LINESTRING (-122.469361011 37.776990327, -122.469226882 37.775125352)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1132,8012000,LAKE,ST,02,FIELD,15,2012,"LINESTRING (-122.462546554 37.78676805, -122.463617943 37.78672158)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1192,1867000,39TH,AVE,01,FIELD,47,2012,"LINESTRING (-122.499454812 37.775617867, -122.499318869 37.773750889)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
7361,6039201,GEARY,BLVD,05,REMOTE,52,2010,"LINESTRING (-122.42468704 37.785334622, -122.424898768 37.785441124, -122.427894214 37.785064255, -122.427988927 37.784953878)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
7393,10150000,PACIFIC,AVE,02,FIELD,26,2010,"LINESTRING (-122.426514003 37.794397548, -122.42815905 37.794187402)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
6584,13113000,VALLEJO,ST,02,FIELD,29,2010,"LINESTRING (-122.430182833 37.795853518, -122.431827833 37.79564412)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
6571,7404000,JACKSON,ST,02,FIELD,24,2010,"LINESTRING (-122.434557721 37.792471637, -122.436203508 37.792262619)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5317,2308000,ANZA,ST,01,FIELD,27,2010,"LINESTRING (-122.449817449 37.780752006, -122.450843847 37.780622314)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4210,8454101,LOMBARD,ST,02,FIELD,13,2013,"LINESTRING (-122.426180044 37.801095455, -122.426285334 37.801018334, -122.427694828 37.800839509, -122.427825033 37.800886755)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
12243,19783002,CROOK,ST,02,REMOTE,0,2014,"LINESTRING (-122.451091891 37.805524289, -122.451177186 37.805944311)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1838,19143000,GORGAS,AVE,02,REMOTE,0,2014,"LINESTRING (-122.452745995 37.803402354, -122.454306993 37.803278929)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1031,19547000,MESA,ST,02,FIELD,3,2013,"LINESTRING (-122.457996647 37.797312546, -122.457446473 37.798032343)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1829,19858000,UNNAMED 144,,02,REMOTE,0,2014,"LINESTRING (-122.463545012 37.801637875, -122.463744461 37.801421581)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13535,19157000,HALLECK,ST,02,REMOTE,0,2014,"LINESTRING (-122.454562665 37.802155748, -122.45448011 37.802518424)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
265,19411000,KEYES,AVE,02,REMOTE,15,2014,"LINESTRING (-122.455559909 37.801296896, -122.456364287 37.800185576)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
6064,12434000,TAYLOR,ST,03,FIELD,3,2010,"LINESTRING (-122.411699232 37.787872169, -122.411755493 37.788169497)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2242,5125101,EL CAMINO DEL MAR,,02,FIELD,25,2013,"LINESTRING (-122.489641354 37.787486516, -122.489588354 37.787390681, -122.489613424 37.787114287, -122.489685865 37.786872586, -122.489753201 37.786755642, -122.490018555 37.786489493, -122.490253813 37.786364188)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5520,6066201,GEARY,BLVD,01,FIELD,19,2010,"LINESTRING (-122.468563872 37.780822032, -122.468704272 37.780890086, -122.469500676 37.78084276, -122.469627032 37.780768739)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5514,6085201,GEARY,BLVD,01,FIELD,7,2010,"LINESTRING (-122.487945905 37.779947133, -122.488065133 37.780005992, -122.488882727 37.77997394, -122.489013493 37.779890576)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4696,612000,15TH,AVE,01,FIELD,45,2012,"LINESTRING (-122.473562985 37.774927775, -122.473427837 37.773062614)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4657,2343000,ANZA,ST,01,FIELD,13,2010,"LINESTRING (-122.484595238 37.778165835, -122.485667402 37.778117248)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4071,3491000,CABRILLO,ST,01,FIELD,14,2012,"LINESTRING (-122.483254694 37.774485588, -122.484325941 37.774436663)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
3012,3511000,CABRILLO,ST,01,FIELD,19,2010,"LINESTRING (-122.504680261 37.773505194, -122.505747075 37.773456276)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1794,1927000,42ND,AVE,01,REMOTE,4,2010,"LINESTRING (-122.502972265 37.779609736, -122.502946585 37.779257321)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1237,1541000,27TH,AVE,02,REMOTE,16,2014,"LINESTRING (-122.488059187 37.788682418, -122.487961761 37.788340365, -122.487860251 37.788222459)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2138,12085000,STANYAN,ST,05,REMOTE,9,2010,"LINESTRING (-122.454285117 37.772895179, -122.454083218 37.771930405)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
502,2206000,ALMADEN,CT,01,FIELD,20,2010,"LINESTRING (-122.457953812 37.780452123, -122.457920468 37.780366371, -122.457745825 37.77947877)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
501,2315000,ANZA,ST,01,FIELD,7,2010,"LINESTRING (-122.456496943 37.779695338, -122.456695367 37.779625759, -122.456871587 37.779591314)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
462,2648000,BALBOA,ST,01,FIELD,17,2010,"LINESTRING (-122.461868239 37.777331798, -122.462940789 37.777282735)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
3115,3582000,CALIFORNIA,ST,02,FIELD,5,2010,"LINESTRING (-122.46457216 37.784993973, -122.465632311 37.784852533)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
957,4168000,CLEMENT,ST,01,FIELD,15,2010,"LINESTRING (-122.477374311 37.782360569, -122.478443506 37.782308381)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
